 NF , LCD , NucleusArea , CellArea , percentProtrusion , protrusion_extent ,NucIntegratedH,logNucbyRing488 (Yap)
0.140625,8.77655,482,4451,22.6915,0.450777,94619.01,0.262398
0.536232,39.6825,286,4100,15.2195,0.437247,82806.724,0.0337796
0.870588,69.5894,330,1938,0,0.00645161,89572.56,0.0636958
0.718062,15.7978,387,2732,11.0908,0.285714,102191.22,0.247926
0.450893,16.7532,389,4059,30.8697,0.55,87039.528,0.276789
0.633028,27.7316,337,2929,22.3967,0.304348,92394.616,0.147142
0.659091,28.3046,378,3872,27.2727,0.264151,104072.472,0.212208
0.709402,19.1534,332,3352,26.0143,0.293269,100841.348,0.130641
0.813187,40.9668,401,2418,9.13978,0.174699,71462.611,0.111158
0.505952,18.7126,390,2399,24.8437,0.436242,59684.43,0.28977
0.93299,39.0778,387,2339,7.22531,0.215789,86270.04,0.0276793
0.973384,28.777,432,3534,2.68817,0.163934,101623.248,0.290967
1,41.0846,438,1916,0,0,57526.92,0.0265321
0.428571,28.9939,107,180,0,0.102041,84466.763,-0.196115
0.692568,16.8011,547,4363,7.74696,0.444444,99364.191,0.33945
0.654618,23.7079,562,4426,12.3814,0.560386,139922.264,0.245325
0.236702,6.99937,535,5024,33.0812,0.802083,192258.135,-0.0280791
0.473563,18.5048,442,6009,20.4027,0.498084,192151.986,0.384844
0.196154,13.0753,493,3644,25.3293,0.627907,157522.374,0.11955
0.695652,15.2045,606,3681,9.18229,0.356164,89800.11,0.20369
0.234375,9.98303,622,4823,20.4022,0.502392,206878.444,0.141574
0.715719,41.806,524,3959,19.5251,0.222672,169296.54,0.151194
0.210762,12.1981,434,3657,19.1961,0.5,97816.656,0.272506
0.251064,11.5154,519,4035,21.7596,0.594737,127366.752,0.306361
0.657143,19.6618,467,2593,5.63054,0.227273,170044.507,0.247863
0.955056,33.1785,622,2200,0,0.195402,139311.828,0.192662
0.874396,34.7464,452,2441,3.07251,0.20098,77691.116,0.311534
1,41.6146,573,2796,0,0,69492.294,0.132008
1,44.9236,653,2991,0,0,95405.912,0.12752
1,37.7929,744,3229,0,0,95713.368,0.171791
0.956989,31.1236,515,2330,0,0,100988.41,0.216549
0.702703,33.8524,474,3679,18.4017,0.445545,113481.762,0.149968
1,26.4061,696,3739,2.13961,0.132743,143611.248,0.110746
1,50.7357,449,1535,0,0,89651.83,-0.00123927
1,38.4911,430,1290,0,0,76629.01,0.221927
